Caso,Atividade,Recurso,Início,Fim
1,Entrada no Estacionamento,Cancela 3,2023-07-01 09:45:00,2023-07-01 09:45:00
1,Solicitar Ticket,Cancela 4,2023-07-01 09:45:57,2023-07-01 09:46:13
1,Impressão do Ticket,Cancela 3,2023-07-01 09:46:16,2023-07-01 09:46:27
1,Solicitar Ticket,Cancela 2,2023-07-01 12:14:27,2023-07-01 12:14:42
1,Impressão do Ticket,Cancela 1,2023-07-01 12:15:38,2023-07-01 12:15:45
1,Validar Ticket,Caixa 2,2023-07-01 14:55:45,2023-07-01 14:55:54
1,Impressão do Ticket,Cancela 3,2023-07-01 14:56:23,2023-07-01 14:56:30
1,Saída do Estacionamento,Caixa 1,2023-07-01 17:12:30,2023-07-01 17:12:30
2,Entrada no Estacionamento,Cancela 3,2023-07-01 07:04:00,2023-07-01 07:04:00
2,Comprar Cartão Pré-pago,Caixa 3,2023-07-01 07:04:36,2023-07-01 07:08:14
2,Reservar Vaga,Totem 1,2023-07-01 07:08:41,2023-07-01 07:10:01
2,Cancelar Reserva,Totem 4,2023-07-01 07:10:56,2023-07-01 07:11:38
2,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 07:12:13,2023-07-01 07:16:08
2,Solicitar Ticket,Cancela 4,2023-07-01 07:16:12,2023-07-01 07:16:31
2,Impressão do Ticket,Cancela 2,2023-07-01 07:16:34,2023-07-01 07:16:49
2,Reservar Vaga,Totem 2,2023-07-01 10:08:49,2023-07-01 10:10:16
2,Validar Ticket,Caixa 3,2023-07-01 10:10:50,2023-07-01 10:10:56
2,Adicionar Créditos,Totem 3,2023-07-01 10:11:07,2023-07-01 10:11:59
2,Validar Ticket,Caixa 1,2023-07-01 10:12:30,2023-07-01 10:12:36
2,Pagar Estacionamento,Caixa 3,2023-07-01 10:12:41,2023-07-01 10:15:03
2,Scan Sem Parar,Cancela 4,2023-07-01 10:15:47,2023-07-01 10:15:49
2,Solicitar Ticket,Cancela 1,2023-07-01 13:00:49,2023-07-01 13:01:00
2,Pagar Estacionamento,Caixa 2,2023-07-01 13:01:52,2023-07-01 13:03:45
2,Cancelar Reserva,Totem 3,2023-07-01 13:04:02,2023-07-01 13:04:37
2,Validar Ticket,Caixa 1,2023-07-01 13:05:28,2023-07-01 13:05:32
2,Impressão do Ticket,Cancela 1,2023-07-01 13:05:52,2023-07-01 13:06:07
2,Saída do Estacionamento,Caixa 2,2023-07-01 15:57:07,2023-07-01 15:57:07
3,Entrada no Estacionamento,Cancela 3,2023-07-01 10:51:00,2023-07-01 10:51:00
3,Solicitar Ticket,Cancela 5,2023-07-01 10:51:14,2023-07-01 10:51:32
3,Reservar Vaga,Totem 1,2023-07-01 10:52:17,2023-07-01 10:56:07
3,Solicitar Ticket,Cancela 5,2023-07-01 10:56:11,2023-07-01 10:56:22
3,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 10:57:22,2023-07-01 10:57:26
3,Solicitar Ticket,Cancela 3,2023-07-01 10:57:55,2023-07-01 10:58:10
3,Impressão do Ticket,Cancela 5,2023-07-01 10:58:38,2023-07-01 10:58:49
3,Scan Sem Parar,Cancela 3,2023-07-01 13:41:49,2023-07-01 13:41:53
3,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 15:13:53,2023-07-01 15:18:27
3,Cancelar Reserva,Totem 3,2023-07-01 15:18:54,2023-07-01 15:19:44
3,Cancelar Reserva,Totem 4,2023-07-01 15:19:59,2023-07-01 15:20:38
3,Saída do Estacionamento,Caixa 2,2023-07-01 15:21:17,2023-07-01 15:21:17
4,Entrada no Estacionamento,Cancela 3,2023-07-01 07:33:00,2023-07-01 07:33:00
4,Solicitar Ticket,Cancela 4,2023-07-01 07:33:09,2023-07-01 07:33:24
4,Scan Sem Parar,Cancela 5,2023-07-01 07:33:46,2023-07-01 07:33:47
4,Impressão do Ticket,Cancela 5,2023-07-01 10:29:47,2023-07-01 10:30:03
4,Saída do Estacionamento,Caixa 4,2023-07-01 12:44:03,2023-07-01 12:44:03
5,Entrada no Estacionamento,Cancela 4,2023-07-01 11:36:00,2023-07-01 11:36:00
5,Solicitar Ticket,Cancela 4,2023-07-01 11:36:57,2023-07-01 11:37:10
5,Impressão do Ticket,Cancela 2,2023-07-01 11:37:14,2023-07-01 11:37:25
5,Validar Ticket,Caixa 4,2023-07-01 13:04:25,2023-07-01 13:04:36
5,Impressão do Ticket,Cancela 3,2023-07-01 13:05:14,2023-07-01 13:05:29
5,Solicitar Ticket,Cancela 5,2023-07-01 16:53:29,2023-07-01 16:53:38
5,Pagar Estacionamento,Caixa 3,2023-07-01 16:54:36,2023-07-01 16:57:11
5,Adicionar Créditos,Totem 3,2023-07-01 16:58:01,2023-07-01 16:58:36
5,Solicitar Ticket,Cancela 2,2023-07-01 16:59:29,2023-07-01 16:59:41
5,Validar Ticket,Caixa 1,2023-07-01 17:00:35,2023-07-01 17:00:42
5,Impressão do Ticket,Cancela 5,2023-07-01 17:00:48,2023-07-01 17:01:06
5,Pagar Estacionamento,Caixa 4,2023-07-01 18:48:06,2023-07-01 18:50:22
5,Solicitar Ticket,Cancela 3,2023-07-01 18:50:44,2023-07-01 18:50:53
5,Validar Ticket,Caixa 2,2023-07-01 18:51:43,2023-07-01 18:51:47
5,Pagar Estacionamento,Caixa 3,2023-07-01 18:52:08,2023-07-01 18:54:29
5,Adicionar Créditos,Totem 2,2023-07-01 18:55:23,2023-07-01 18:56:28
5,Solicitar Ticket,Cancela 1,2023-07-01 18:56:52,2023-07-01 18:57:07
5,Saída do Estacionamento,Caixa 2,2023-07-01 18:57:08,2023-07-01 18:57:08
6,Entrada no Estacionamento,Cancela 3,2023-07-01 07:33:00,2023-07-01 07:33:00
6,Solicitar Ticket,Cancela 1,2023-07-01 07:33:08,2023-07-01 07:33:15
6,Impressão do Ticket,Cancela 5,2023-07-01 07:33:45,2023-07-01 07:33:59
6,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 10:59:59,2023-07-01 11:03:36
6,Solicitar Ticket,Cancela 1,2023-07-01 11:04:21,2023-07-01 11:04:28
6,Impressão do Ticket,Cancela 3,2023-07-01 11:05:24,2023-07-01 11:05:40
6,Adicionar Créditos,Totem 4,2023-07-01 13:30:40,2023-07-01 13:31:44
6,Solicitar Ticket,Cancela 3,2023-07-01 13:32:29,2023-07-01 13:32:36
6,Validar Ticket,Caixa 3,2023-07-01 13:33:05,2023-07-01 13:33:10
6,Leitura do Cartão Pré-pago,Cancela 2,2023-07-01 13:33:55,2023-07-01 13:33:57
6,Pagar Estacionamento,Caixa 2,2023-07-01 13:34:19,2023-07-01 13:36:45
6,Solicitar Ticket,Cancela 4,2023-07-01 13:36:53,2023-07-01 13:37:08
6,Pagar Estacionamento,Caixa 2,2023-07-01 13:37:59,2023-07-01 13:39:53
6,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 13:40:26,2023-07-01 13:42:15
6,Pagar Estacionamento,Caixa 4,2023-07-01 13:42:55,2023-07-01 13:45:00
6,Comprar Cartão Pré-pago,Caixa 1,2023-07-01 13:45:07,2023-07-01 13:47:07
6,Impressão do Ticket,Cancela 3,2023-07-01 13:47:09,2023-07-01 13:47:29
6,Validar Ticket,Caixa 2,2023-07-01 14:02:29,2023-07-01 14:02:41
6,Saída do Estacionamento,Caixa 1,2023-07-01 14:02:42,2023-07-01 14:02:42
7,Entrada no Estacionamento,Cancela 4,2023-07-01 10:36:00,2023-07-01 10:36:00
7,Solicitar Ticket,Cancela 3,2023-07-01 10:36:08,2023-07-01 10:36:27
7,Impressão do Ticket,Cancela 5,2023-07-01 10:37:10,2023-07-01 10:37:17
7,Solicitar Ticket,Cancela 4,2023-07-01 13:23:17,2023-07-01 13:23:31
7,Validar Ticket,Caixa 2,2023-07-01 13:23:49,2023-07-01 13:23:57
7,Impressão do Ticket,Cancela 4,2023-07-01 13:24:26,2023-07-01 13:24:43
7,Validar Ticket,Caixa 1,2023-07-01 15:04:43,2023-07-01 15:04:47
7,Impressão do Ticket,Cancela 5,2023-07-01 15:04:54,2023-07-01 15:05:06
7,Solicitar Ticket,Cancela 4,2023-07-01 15:14:06,2023-07-01 15:14:21
7,Adicionar Créditos,Totem 2,2023-07-01 15:14:45,2023-07-01 15:15:54
7,Pagar Estacionamento,Caixa 4,2023-07-01 15:16:20,2023-07-01 15:18:25
7,Validar Ticket,Caixa 4,2023-07-01 15:18:26,2023-07-01 15:18:35
7,Saída do Estacionamento,Caixa 3,2023-07-01 15:18:35,2023-07-01 15:18:35
8,Entrada no Estacionamento,Cancela 3,2023-07-01 12:49:00,2023-07-01 12:49:00
8,Solicitar Ticket,Cancela 1,2023-07-01 12:49:53,2023-07-01 12:50:12
8,Leitura do Cartão Pré-pago,Cancela 5,2023-07-01 12:50:50,2023-07-01 12:50:53
8,Impressão do Ticket,Cancela 1,2023-07-01 12:51:41,2023-07-01 12:52:00
8,Validar Ticket,Caixa 4,2023-07-01 15:22:00,2023-07-01 15:22:09
8,Solicitar Ticket,Cancela 1,2023-07-01 15:23:04,2023-07-01 15:23:17
8,Pagar Estacionamento,Caixa 1,2023-07-01 15:23:49,2023-07-01 15:25:32
8,Validar Ticket,Caixa 2,2023-07-01 15:26:14,2023-07-01 15:26:24
8,Saída do Estacionamento,Caixa 3,2023-07-01 15:26:52,2023-07-01 15:26:52
9,Entrada no Estacionamento,Cancela 1,2023-07-01 09:46:00,2023-07-01 09:46:00
9,Solicitar Ticket,Cancela 1,2023-07-01 09:46:23,2023-07-01 09:46:40
9,Impressão do Ticket,Cancela 5,2023-07-01 09:46:49,2023-07-01 09:46:55
9,Comprar Cartão Pré-pago,Caixa 4,2023-07-01 10:11:55,2023-07-01 10:15:04
9,Leitura do Cartão Pré-pago,Cancela 3,2023-07-01 10:15:08,2023-07-01 10:15:09
9,Saída do Estacionamento,Caixa 1,2023-07-01 10:15:48,2023-07-01 10:15:48
10,Entrada no Estacionamento,Cancela 1,2023-07-01 09:11:00,2023-07-01 09:11:00
10,Solicitar Ticket,Cancela 3,2023-07-01 09:11:45,2023-07-01 09:12:05
10,Impressão do Ticket,Cancela 2,2023-07-01 09:12:55,2023-07-01 09:13:05
10,Solicitar Ticket,Cancela 3,2023-07-01 10:35:05,2023-07-01 10:35:18
10,Adicionar Créditos,Totem 2,2023-07-01 10:35:33,2023-07-01 10:36:08
10,Solicitar Ticket,Cancela 5,2023-07-01 10:36:54,2023-07-01 10:37:12
10,Validar Ticket,Caixa 4,2023-07-01 10:37:54,2023-07-01 10:38:01
10,Comprar Cartão Pré-pago,Caixa 2,2023-07-01 10:38:18,2023-07-01 10:42:40
10,Leitura do Cartão Pré-pago,Cancela 4,2023-07-01 10:43:40,2023-07-01 10:43:41
10,Impressão do Ticket,Cancela 3,2023-07-01 10:43:50,2023-07-01 10:44:01
10,Solicitar Ticket,Cancela 1,2023-07-01 13:22:01,2023-07-01 13:22:13
10,Validar Ticket,Caixa 3,2023-07-01 13:23:09,2023-07-01 13:23:18
10,Impressão do Ticket,Cancela 1,2023-07-01 13:23:26,2023-07-01 13:23:45
10,Pagar Estacionamento,Caixa 1,2023-07-01 13:38:45,2023-07-01 13:40:12
10,Solicitar Ticket,Cancela 2,2023-07-01 13:40:41,2023-07-01 13:40:57
10,Validar Ticket,Caixa 2,2023-07-01 13:41:16,2023-07-01 13:41:24
